Location Code,County,Area Name,Region,School Years,Number Overweight,Percent Overweight,Number Obese,Percent Obese,Number Overweight or Obese,Percent Overweight or Obese,Grade Level,Area Type,Street Address,City,State,Zip Code,Location 1
440201,ORANGE,CHESTER UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,38,15.5,35,14.3,73,29.8,DISTRICT TOTAL,SCHOOL DISTRICT,64 HAMBLETONIAN AVE,CHESTER,NY,10918,"(41.3666, -74.2784)"
430700,ONTARIO,GENEVA CITY SCHOOL DISTRICT,FINGER LAKES,2010-2012,56,19.5,61,21.3,117,40.8,MIDDLE/HIGH,SCHOOL DISTRICT,649 S EXCHANGE ST,GENEVA,NY,14456,"(42.8761, -76.9965)"
51901,CAYUGA,UNION SPRINGS CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,23,20.7,20,18.0,43,38.7,MIDDLE/HIGH,SCHOOL DISTRICT,239 CAYUGA ST,UNION SPRINGS,NY,13160,"(42.8508, -76.6912)"
431701,ONTARIO,VICTOR CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,76,14.0,57,10.5,133,24.4,MIDDLE/HIGH,SCHOOL DISTRICT,953 HIGH ST,VICTOR,NY,14564,"(42.9923, -77.4194)"
280222,NASSAU,FLORAL PARK-BELLEROSE UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2014-2016,74,14.2,57,10.9,131,25.1,DISTRICT TOTAL,SCHOOL DISTRICT,1 POPPY PL,FLORAL PARK,NY,11001,"(40.7194, -73.7201)"
651501,WAYNE,NORTH ROSE-WOLCOTT CENTRAL SCHOOL DISTRICT,FINGER LAKES,2010-2012,45,17.4,56,21.6,101,39.0,ELEMENTARY,SCHOOL DISTRICT,11669 SALTER-COLVN RD,WOLCOTT,NY,14590,"(43.1924, -76.8289)"
250401,MADISON,MORRISVILLE-EATON CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,11,11.7,20,21.3,31,33.0,MIDDLE/HIGH,SCHOOL DISTRICT,5061 FEARON RD,MORRISVILLE,NY,13408,"(42.9408, -75.6586)"
621201,ULSTER,ONTEORA CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,60,19.5,45,14.6,105,34.1,ELEMENTARY,SCHOOL DISTRICT,4166 RT 28,BOICEVILLE,NY,12412,"(42.0095, -74.2685)"
480102,PUTNAM,CARMEL CENTRAL SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,90,15.5,110,18.9,200,34.4,ELEMENTARY,SCHOOL DISTRICT,81 SOUTH ST,PATTERSON,NY,12563,"(41.5081, -73.6064)"
120301,DELAWARE,DOWNSVILLE CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,13,27.1,5,10.4,18,37.5,ELEMENTARY,SCHOOL DISTRICT,14784 STATE HWY 30,DOWNSVILLE,NY,13755,"(42.0727, -75.0057)"
661401,WESTCHESTER,OSSINING UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2012-2014,143,18.2,152,19.4,295,37.6,ELEMENTARY,SCHOOL DISTRICT,190 CROTON AVE,OSSINING,NY,10562,"(41.167, -73.8464)"
580306,SUFFOLK,MONTAUK UNION FREE SCHOOL DISTRICT,NASSAU-SUFFOLK,2016-2018,29,20.4,22,15.5,51,35.9,DISTRICT TOTAL,SCHOOL DISTRICT,50 S DORSET DR,MONTAUK,NY,11954,"(41.0359, -71.9593)"
41101,CATTARAUGUS,FRANKLINVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2014-2016,26,17.2,24,15.8,50,33.1,ELEMENTARY,SCHOOL DISTRICT,31 N MAIN ST,FRANKLINVILLE,NY,14737,"(42.3396, -78.4572)"
411902,ONEIDA,WATERVILLE CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2014,31,15.0,46,22.2,77,37.2,ELEMENTARY,SCHOOL DISTRICT,381 MADISON ST,WATERVILLE,NY,13480,"(42.9261, -75.3932)"
11,CORTLAND,CORTLAND,CENTRAL NEW YORK,2010-2012,211,18.4,188,16.4,399,34.8,ELEMENTARY,COUNTY,,,,,
421501,ONONDAGA,LIVERPOOL CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2016-2018,351,17.4,359,17.8,710,35.3,DISTRICT TOTAL,SCHOOL DISTRICT,195 BLACKBERRY RD,LIVERPOOL,NY,13090,"(43.1406, -76.225)"
66,WESTCHESTER,WESTCHESTER,HUDSON VALLEY,2010-2012,5341,14.9,5029,14.0,10370,28.9,DISTRICT TOTAL,COUNTY,,,,,
490101,RENSSELAER,BERLIN CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2010-2012,21,16.2,26,20.0,47,36.2,MIDDLE/HIGH,SCHOOL DISTRICT,53 SCHOOL ST,BERLIN,NY,12022,"(42.6899, -73.3663)"
571000,STEUBEN,CORNING CITY SCHOOL DISTRICT,FINGER LAKES,2010-2012,135,16.9,152,19.0,287,35.8,ELEMENTARY,SCHOOL DISTRICT,165 CHARLES ST,PAINTED POST,NY,14870,"(42.1613, -77.0937)"
561006,SENECA,WATERLOO CENTRAL SCHOOL DISTRICT,FINGER LAKES,2012-2014,129,19.8,153,23.5,282,43.4,DISTRICT TOTAL,SCHOOL DISTRICT,109 WASHINGTON ST,WATERLOO,NY,13165,"(42.8964, -76.8626)"
410401,ONEIDA,ADIRONDACK CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,38,20.9,31,17.0,69,37.9,ELEMENTARY,SCHOOL DISTRICT,110 FORD ST,BOONVILLE,NY,13309,"(43.4829, -75.3374)"
573002,STEUBEN,WAYLAND-COHOCTON CENTRAL SCHOOL DISTRICT,FINGER LAKES,2014-2016,23,14.5,29,18.3,52,32.9,MIDDLE/HIGH,SCHOOL DISTRICT,2350 RT 63,WAYLAND,NY,14572,"(42.5636, -77.6025)"
661401,WESTCHESTER,OSSINING UNION FREE SCHOOL DISTRICT,HUDSON VALLEY,2016-2018,108,21.7,103,20.7,211,42.4,DISTRICT TOTAL,SCHOOL DISTRICT,190 CROTON AVE,OSSINING,NY,10562,"(41.167, -73.8464)"
280100,NASSAU,GLEN COVE CITY SCHOOL DISTRICT,NASSAU-SUFFOLK,2012-2014,163,17.6,207,22.3,370,39.9,DISTRICT TOTAL,SCHOOL DISTRICT,150 DOSORIS LN,GLEN COVE,NY,11542,"(40.8804, -73.63)"
220202,JEFFERSON,ALEXANDRIA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2010-2012,10,11.2,25,28.1,35,39.3,MIDDLE/HIGH,SCHOOL DISTRICT,34 BOLTON AVE,ALEXANDRIA BAY,NY,13607,"(44.3354, -75.9119)"
